transaction_id,fund_id,transaction_date,transaction_type,amount,currency,counterparty,status
TXN00000040,PAM0001,2020-09-16,Dividend,-177793.5,GBP,CP006,Settled
TXN00000041,PAM0001,2020-09-17,Performance Fee,0.0,GBP,CP022,Settled
TXN00000042,PAM0001,2020-10-18,Subscription,165610.53,GBP,CP035,Settled
TXN00000043,PAM0001,2020-10-04,Subscription,4669274.02,GBP,CP036,Pending
TXN00000044,PAM0001,2020-10-06,Performance Fee,0.0,GBP,CP043,Settled
TXN00000045,PAM0001,2020-10-17,Dividend,-410031.27,GBP,CP032,Settled
TXN00000046,PAM0001,2020-10-26,Redemption,-1257444.96,GBP,CP011,Settled
TXN00000047,PAM0001,2020-10-12,Redemption,-420576.72,GBP,CP037,Settled
TXN00000048,PAM0001,2020-11-05,Subscription,917220.61,GBP,CP029,Settled
TXN00000049,PAM0001,2020-11-19,Management Fee,-428642.33,GBP,CP015,Settled
TXN00000050,PAM0001,2020-11-11,Subscription,385281.26,GBP,CP036,Settled
TXN00000051,PAM0001,2020-12-08,Dividend,-408843.8,GBP,CP021,Settled
TXN00000052,PAM0001,2020-12-29,Redemption,-2894590.95,GBP,CP015,Settled
TXN00000053,PAM0001,2020-12-25,Performance Fee,0.0,GBP,CP043,Settled
TXN00000054,PAM0001,2021-01-20,Dividend,-362463.93,GBP,CP025,Settled
TXN00000055,PAM0001,2021-01-12,Dividend,-364552.64,GBP,CP001,Settled
TXN00000056,PAM0001,2021-01-07,Dividend,-493083.84,GBP,CP001,Settled
TXN00000057,PAM0001,2021-01-20,Dividend,-177413.12,GBP,CP007,Settled
TXN00000058,PAM0001,2021-01-07,Performance Fee,0.0,GBP,CP040,Settled
TXN00000059,PAM0001,2021-01-22,Expense,-46423.53,GBP,CP031,Settled
TXN00000060,PAM0001,2021-01-11,Redemption,-2561345.11,GBP,CP044,Settled
TXN00000061,PAM0001,2021-02-12,Subscription,4732422.06,GBP,CP036,Settled
TXN00000062,PAM0001,2021-02-14,Performance Fee,0.0,GBP,CP023,Settled
TXN00000063,PAM0001,2021-02-19,Dividend,-308603.41,GBP,CP026,Settled
TXN00000064,PAM0001,2021-02-07,Expense,-11933.2,GBP,CP021,Settled
TXN00000065,PAM0001,2021-02-24,Subscription,2180180.14,GBP,CP009,Settled
TXN00000066,PAM0001,2021-03-19,Redemption,-1594354.97,GBP,CP043,Settled
TXN00000067,PAM0001,2021-03-19,Redemption,-335142.29,GBP,CP030,Settled
TXN00000068,PAM0001,2021-03-13,Dividend,-406561.38,GBP,CP004,Settled
TXN00000069,PAM0001,2021-03-04,Subscription,3763748.03,GBP,CP010,Settled
TXN00000070,PAM0001,2021-03-19,Redemption,-2391133.23,GBP,CP010,Settled
TXN00000071,PAM0001,2021-03-09,Redemption,-2918771.95,GBP,CP035,Settled
TXN00000072,PAM0001,2021-04-21,Subscription,342566.61,GBP,CP045,Settled
TXN00000073,PAM0001,2021-04-18,Redemption,-1565855.23,GBP,CP048,Settled
TXN00000074,PAM0001,2021-04-13,Performance Fee,-21774.62,GBP,CP015,Settled
TXN00000075,PAM0001,2021-05-20,Subscription,3041467.33,GBP,CP007,Settled
TXN00000076,PAM0001,2021-05-22,Dividend,-495323.17,GBP,CP038,Settled
TXN00000077,PAM0001,2021-05-04,Subscription,2717011.38,GBP,CP019,Settled
TXN00000078,PAM0001,2021-05-30,Redemption,-846071.2,GBP,CP037,Settled
TXN00000079,PAM0001,2021-05-08,Redemption,-2622976.32,GBP,CP040,Settled
TXN00000080,PAM0001,2021-05-04,Management Fee,-415210.08,GBP,CP013,Settled
TXN00000081,PAM0001,2021-05-23,Dividend,-452405.81,GBP,CP001,Settled
TXN00000082,PAM0001,2021-06-30,Subscription,1759816.94,GBP,CP042,Settled
TXN00000083,PAM0001,2021-06-17,Performance Fee,0.0,GBP,CP026,Settled
TXN00000084,PAM0001,2021-06-15,Performance Fee,0.0,GBP,CP031,Settled
TXN00000085,PAM0001,2021-06-27,Management Fee,-418016.12,GBP,CP014,Settled
TXN00000086,PAM0001,2021-06-28,Subscription,1630324.98,GBP,CP012,Settled
TXN00000087,PAM0001,2021-06-15,Subscription,261541.58,GBP,CP005,Settled
TXN00000088,PAM0001,2021-06-07,Subscription,4623440.26,GBP,CP026,Settled
TXN00000089,PAM0001,2021-07-09,Redemption,-2474427.49,GBP,CP013,Settled
TXN00000090,PAM0001,2021-07-08,Expense,-31616.73,GBP,CP033,Settled
TXN00000091,PAM0001,2021-07-22,Management Fee,-476883.08,GBP,CP043,Settled
TXN00000092,PAM0001,2021-07-13,Redemption,-878981.23,GBP,CP020,Settled
TXN00000093,PAM0001,2021-08-28,Dividend,-188104.18,GBP,CP016,Settled
TXN00000094,PAM0001,2021-08-16,Management Fee,-475199.49,GBP,CP015,Settled
TXN00000095,PAM0001,2021-08-04,Expense,-12287.76,GBP,CP020,Settled
TXN00000096,PAM0001,2021-09-06,Redemption,-558275.91,GBP,CP004,Settled
TXN00000097,PAM0001,2021-09-14,Management Fee,-405837.86,GBP,CP006,Settled
TXN00000098,PAM0001,2021-09-20,Redemption,-585514.31,GBP,CP017,Settled
TXN00000099,PAM0001,2021-09-15,Dividend,-285039.75,GBP,CP047,Settled
TXN00000100,PAM0001,2021-09-06,Dividend,-59371.94,GBP,CP026,Settled
TXN00000101,PAM0001,2021-09-14,Redemption,-2708243.73,GBP,CP003,Settled
TXN00000102,PAM0001,2021-09-09,Management Fee,-481822.28,GBP,CP029,Settled
TXN00000103,PAM0001,2021-10-12,Subscription,2811704.35,GBP,CP037,Failed
TXN00000104,PAM0001,2021-10-11,Redemption,-1817729.77,GBP,CP038,Settled
TXN00000105,PAM0001,2021-10-05,Management Fee,-434964.69,GBP,CP042,Settled
TXN00000106,PAM0001,2021-10-06,Subscription,4777547.28,GBP,CP017,Settled
TXN00000107,PAM0001,2021-10-04,Management Fee,-457323.09,GBP,CP031,Settled
TXN00000108,PAM0001,2021-10-26,Subscription,629125.44,GBP,CP002,Settled
TXN00000109,PAM0001,2021-11-19,Expense,-8044.55,GBP,CP004,Settled
TXN00000110,PAM0001,2021-11-21,Expense,-33006.93,GBP,CP011,Settled
TXN00000111,PAM0001,2021-11-30,Expense,-46547.58,GBP,CP037,Settled
TXN00000112,PAM0001,2021-11-09,Management Fee,-419821.15,GBP,CP011,Settled
TXN00000113,PAM0001,2021-11-18,Expense,-9449.18,GBP,CP039,Settled
TXN00000114,PAM0001,2021-11-30,Management Fee,-452426.07,GBP,CP021,Settled
TXN00000115,PAM0001,2021-12-29,Management Fee,-437966.87,GBP,CP019,Settled
TXN00000116,PAM0001,2021-12-15,Management Fee,-429597.93,GBP,CP030,Settled
TXN00000117,PAM0001,2021-12-29,Management Fee,-481949.43,GBP,CP003,Settled
TXN00000118,PAM0001,2022-01-18,Redemption,-321300.71,GBP,CP033,Settled
TXN00000119,PAM0001,2022-01-06,Redemption,-2595868.77,GBP,CP020,Settled
TXN00000120,PAM0001,2022-01-24,Performance Fee,0.0,GBP,CP020,Settled
TXN00000121,PAM0001,2022-01-18,Subscription,4697696.15,GBP,CP018,Settled
TXN00000122,PAM0001,2022-01-14,Subscription,4073524.1,GBP,CP006,Settled
TXN00000123,PAM0001,2022-01-09,Performance Fee,0.0,GBP,CP042,Settled
TXN00000124,PAM0001,2022-01-14,Subscription,3849519.82,GBP,CP015,Settled
TXN00000125,PAM0001,2022-02-16,Redemption,-1369498.55,GBP,CP006,Settled
TXN00000126,PAM0001,2022-02-02,Management Fee,-461868.53,GBP,CP031,Settled
TXN00000127,PAM0001,2022-02-22,Subscription,713704.21,GBP,CP048,Settled
TXN00000128,PAM0001,2022-02-27,Subscription,1393613.43,GBP,CP041,Settled
TXN00000129,PAM0001,2022-03-24,Performance Fee,0.0,GBP,CP035,Settled
TXN00000130,PAM0001,2022-03-29,Management Fee,-435744.82,GBP,CP046,Settled
TXN00000131,PAM0001,2022-03-16,Redemption,-221422.15,GBP,CP019,Settled
TXN00000132,PAM0001,2022-04-30,Performance Fee,-112486.11,GBP,CP005,Settled
TXN00000133,PAM0001,2022-04-21,Redemption,-1275928.23,GBP,CP013,Settled
TXN00000134,PAM0001,2022-04-06,Redemption,-2638695.35,GBP,CP040,Settled
TXN00000135,PAM0001,2022-04-14,Subscription,4682529.43,GBP,CP012,Settled
TXN00000136,PAM0001,2022-05-28,Performance Fee,-190409.03,GBP,CP026,Settled
TXN00000137,PAM0001,2022-05-31,Dividend,-100083.29,GBP,CP017,Settled
TXN00000138,PAM0001,2022-05-05,Redemption,-1724295.98,GBP,CP010,Settled
TXN00000139,PAM0001,2022-05-25,Redemption,-891997.65,GBP,CP015,Settled
TXN00000140,PAM0001,2022-05-15,Redemption,-697539.82,GBP,CP031,Settled
TXN00000141,PAM0001,2022-05-19,Subscription,297900.61,GBP,CP009,Settled
TXN00000142,PAM0001,2022-06-03,Redemption,-1452290.39,GBP,CP030,Settled
TXN00000143,PAM0001,2022-06-20,Redemption,-1945107.28,GBP,CP018,Settled
TXN00000144,PAM0001,2022-06-21,Subscription,483527.72,GBP,CP009,Settled
TXN00000145,PAM0001,2022-06-14,Performance Fee,-169117.1,GBP,CP049,Settled
TXN00000146,PAM0001,2022-06-15,Subscription,3746132.6,GBP,CP038,Settled
TXN00000147,PAM0001,2022-07-16,Redemption,-855188.16,GBP,CP040,Settled
TXN00000148,PAM0001,2022-07-14,Dividend,-405100.06,GBP,CP028,Settled
TXN00000149,PAM0001,2022-07-28,Redemption,-141726.59,GBP,CP015,Settled
TXN00000150,PAM0001,2022-08-21,Performance Fee,0.0,GBP,CP029,Settled
TXN00000151,PAM0001,2022-08-30,Redemption,-945417.36,GBP,CP028,Settled
TXN00000152,PAM0001,2022-08-31,Subscription,2465443.52,GBP,CP013,Settled
TXN00000153,PAM0001,2022-08-25,Dividend,-92923.85,GBP,CP034,Settled
TXN00000154,PAM0001,2022-08-22,Subscription,3951627.81,GBP,CP046,Settled
TXN00000155,PAM0001,2022-08-07,Management Fee,-405570.77,GBP,CP014,Settled
TXN00000156,PAM0001,2022-08-08,Subscription,2352618.23,GBP,CP042,Settled
TXN00000157,PAM0001,2022-09-16,Redemption,-1292607.49,GBP,CP035,Settled
TXN00000158,PAM0001,2022-09-20,Subscription,819705.42,GBP,CP037,Settled
TXN00000159,PAM0001,2022-09-27,Dividend,-307931.4,GBP,CP021,Settled
TXN00000160,PAM0001,2022-09-13,Performance Fee,-188867.98,GBP,CP037,Settled
TXN00000161,PAM0001,2022-09-09,Subscription,4739514.67,GBP,CP003,Settled
TXN00000162,PAM0001,2022-09-20,Subscription,125575.06,GBP,CP016,Settled
TXN00000163,PAM0001,2022-10-20,Subscription,2961087.63,GBP,CP041,Settled
TXN00000164,PAM0001,2022-10-08,Subscription,2263243.21,GBP,CP012,Settled
TXN00000165,PAM0001,2022-10-10,Subscription,2538910.48,GBP,CP006,Settled
TXN00000166,PAM0001,2022-10-04,Subscription,2676339.35,GBP,CP044,Settled
TXN00000167,PAM0001,2022-10-19,Expense,-23940.56,GBP,CP017,Settled
TXN00000168,PAM0001,2022-10-23,Redemption,-240021.61,GBP,CP020,Settled
TXN00000169,PAM0001,2022-11-11,Redemption,-2091296.75,GBP,CP016,Settled
TXN00000170,PAM0001,2022-11-20,Management Fee,-438756.46,GBP,CP024,Settled
TXN00000171,PAM0001,2022-11-20,Redemption,-2242715.42,GBP,CP046,Settled
TXN00000172,PAM0001,2022-11-10,Redemption,-2111303.8,GBP,CP021,Settled
TXN00000173,PAM0001,2022-11-19,Management Fee,-404201.16,GBP,CP047,Settled
TXN00000174,PAM0001,2022-11-20,Management Fee,-469240.23,GBP,CP034,Settled
TXN00000175,PAM0001,2022-12-29,Redemption,-2352933.92,GBP,CP022,Settled
TXN00000176,PAM0001,2022-12-21,Performance Fee,-16550.6,GBP,CP035,Settled
TXN00000177,PAM0001,2022-12-05,Redemption,-1258747.11,GBP,CP031,Settled
TXN00000178,PAM0001,2022-12-17,Redemption,-133257.31,GBP,CP027,Pending
TXN00000179,PAM0001,2022-12-05,Redemption,-665321.69,GBP,CP017,Settled
TXN00000180,PAM0001,2022-12-13,Management Fee,-434805.11,GBP,CP047,Settled
TXN00000181,PAM0001,2023-01-09,Management Fee,-445438.13,GBP,CP039,Settled
TXN00000182,PAM0001,2023-01-27,Subscription,1498850.16,GBP,CP001,Settled
TXN00000183,PAM0001,2023-01-30,Subscription,4629269.14,GBP,CP044,Settled
TXN00000184,PAM0001,2023-01-08,Redemption,-1413685.56,GBP,CP046,Settled
TXN00000185,PAM0001,2023-01-13,Performance Fee,-99081.59,GBP,CP021,Settled
TXN00000186,PAM0001,2023-02-17,Dividend,-74635.54,GBP,CP009,Settled
TXN00000187,PAM0001,2023-02-15,Redemption,-685990.12,GBP,CP017,Settled
TXN00000188,PAM0001,2023-02-18,Subscription,1392036.45,GBP,CP006,Settled
TXN00000189,PAM0001,2023-03-20,Expense,-16999.75,GBP,CP043,Settled
TXN00000190,PAM0001,2023-03-14,Subscription,2082561.78,GBP,CP027,Settled
TXN00000191,PAM0001,2023-03-31,Dividend,-162614.87,GBP,CP026,Settled
TXN00000192,PAM0001,2023-03-27,Dividend,-97716.11,GBP,CP025,Settled
TXN00000193,PAM0001,2023-04-05,Management Fee,-426992.91,GBP,CP011,Settled
TXN00000194,PAM0001,2023-04-14,Redemption,-2003593.85,GBP,CP024,Settled
TXN00000195,PAM0001,2023-04-26,Redemption,-2184891.88,GBP,CP020,Settled
TXN00000196,PAM0001,2023-04-25,Expense,-45111.27,GBP,CP035,Settled
TXN00000197,PAM0001,2023-04-10,Redemption,-2201057.42,GBP,CP006,Settled
TXN00000198,PAM0001,2023-04-18,Management Fee,-477413.43,GBP,CP043,Settled
TXN00000199,PAM0001,2023-04-28,Subscription,1585309.02,GBP,CP006,Settled
TXN00000200,PAM0001,2023-04-14,Subscription,1697874.84,GBP,CP014,Settled
TXN00000201,PAM0001,2023-05-28,Redemption,-2188648.96,GBP,CP009,Settled
TXN00000202,PAM0001,2023-05-04,Performance Fee,-120581.11,GBP,CP007,Settled
TXN00000203,PAM0001,2023-05-21,Subscription,4910594.62,GBP,CP026,Settled
TXN00000204,PAM0001,2023-05-10,Dividend,-479564.96,GBP,CP032,Settled
TXN00000205,PAM0001,2023-05-07,Performance Fee,0.0,GBP,CP003,Settled
TXN00000206,PAM0001,2023-05-27,Expense,-36380.22,GBP,CP021,Settled
TXN00000207,PAM0001,2023-05-20,Management Fee,-446182.42,GBP,CP024,Settled
TXN00000208,PAM0001,2023-06-09,Redemption,-1397592.42,GBP,CP028,Settled
TXN00000209,PAM0001,2023-06-07,Redemption,-1454897.34,GBP,CP019,Settled
TXN00000210,PAM0001,2023-06-07,Subscription,2529255.47,GBP,CP014,Settled
TXN00000211,PAM0001,2023-06-21,Expense,-42463.87,GBP,CP017,Settled
TXN00000212,PAM0001,2023-07-19,Expense,-28765.22,GBP,CP039,Settled
TXN00000213,PAM0001,2023-07-26,Dividend,-134345.96,GBP,CP008,Settled
TXN00000214,PAM0001,2023-07-06,Subscription,1646693.71,GBP,CP016,Settled
TXN00000215,PAM0001,2023-07-30,Subscription,4127047.97,GBP,CP008,Settled
TXN00000216,PAM0001,2023-07-27,Redemption,-645479.67,GBP,CP010,Settled
TXN00000217,PAM0001,2023-07-21,Subscription,937787.78,GBP,CP032,Pending
TXN00000218,PAM0001,2023-07-11,Redemption,-2069926.9,GBP,CP012,Settled
TXN00000219,PAM0001,2023-07-17,Dividend,-51267.25,GBP,CP004,Settled
TXN00000220,PAM0001,2023-08-21,Redemption,-112048.17,GBP,CP014,Settled
TXN00000221,PAM0001,2023-08-31,Redemption,-410910.15,GBP,CP011,Settled
TXN00000222,PAM0001,2023-08-21,Performance Fee,0.0,GBP,CP022,Settled
TXN00000223,PAM0001,2023-08-09,Subscription,3219271.89,GBP,CP024,Settled
TXN00000224,PAM0001,2023-08-13,Subscription,853176.57,GBP,CP008,Settled
TXN00000225,PAM0001,2023-09-28,Redemption,-548444.33,GBP,CP013,Settled
TXN00000226,PAM0001,2023-09-28,Dividend,-140748.53,GBP,CP036,Settled
TXN00000227,PAM0001,2023-09-20,Performance Fee,-193731.67,GBP,CP031,Settled
TXN00000228,PAM0001,2023-10-30,Redemption,-500495.36,GBP,CP007,Settled
TXN00000229,PAM0001,2023-10-23,Subscription,215254.99,GBP,CP013,Settled
TXN00000230,PAM0001,2023-10-24,Dividend,-131918.34,GBP,CP025,Settled
TXN00000231,PAM0001,2023-10-08,Redemption,-243710.26,GBP,CP027,Settled
TXN00000232,PAM0001,2023-11-15,Redemption,-2760358.67,GBP,CP006,Settled
TXN00000233,PAM0001,2023-11-14,Subscription,1575280.5,GBP,CP031,Settled
TXN00000234,PAM0001,2023-11-29,Management Fee,-483907.95,GBP,CP039,Settled
TXN00000235,PAM0001,2023-11-30,Subscription,146279.28,GBP,CP020,Settled
TXN00000236,PAM0001,2023-11-16,Performance Fee,0.0,GBP,CP025,Settled
TXN00000237,PAM0001,2023-11-06,Subscription,1557967.7,GBP,CP026,Settled
TXN00000238,PAM0001,2023-11-20,Subscription,365721.7,GBP,CP012,Settled
TXN00000239,PAM0001,2023-11-09,Subscription,3771207.12,GBP,CP027,Settled
TXN00000240,PAM0001,2023-12-23,Subscription,1967141.92,GBP,CP045,Settled
TXN00000241,PAM0001,2023-12-22,Management Fee,-458633.79,GBP,CP044,Settled
TXN00000242,PAM0001,2023-12-21,Redemption,-236251.32,GBP,CP017,Settled
TXN00000243,PAM0001,2023-12-29,Subscription,1888266.3,GBP,CP006,Settled
TXN00000244,PAM0001,2023-12-09,Expense,-17535.6,GBP,CP023,Settled
TXN00000245,PAM0001,2023-12-08,Subscription,1831359.63,GBP,CP032,Settled
TXN00000246,PAM0001,2023-12-10,Redemption,-856284.43,GBP,CP015,Settled
TXN00000247,PAM0001,2024-01-05,Management Fee,-462481.23,GBP,CP012,Settled
TXN00000248,PAM0001,2024-01-08,Subscription,4509104.06,GBP,CP035,Settled
TXN00000249,PAM0001,2024-01-10,Dividend,-378802.95,GBP,CP006,Settled
TXN00000250,PAM0001,2024-01-23,Dividend,-397268.22,GBP,CP023,Settled
TXN00000251,PAM0001,2024-01-26,Redemption,-2640762.27,GBP,CP012,Settled
TXN00000252,PAM0001,2024-02-15,Dividend,-92825.42,GBP,CP049,Settled
TXN00000253,PAM0001,2024-02-19,Dividend,-138135.59,GBP,CP048,Settled
TXN00000254,PAM0001,2024-02-29,Dividend,-323340.0,GBP,CP041,Settled
TXN00000255,PAM0001,2024-02-21,Redemption,-1015036.44,GBP,CP035,Settled
TXN00000256,PAM0001,2024-02-22,Management Fee,-451407.76,GBP,CP047,Settled
TXN00000257,PAM0001,2024-02-04,Subscription,3317613.11,GBP,CP030,Settled
TXN00000258,PAM0001,2024-03-18,Redemption,-734531.83,GBP,CP046,Settled
TXN00000259,PAM0001,2024-03-12,Redemption,-770688.52,GBP,CP012,Settled
TXN00000260,PAM0001,2024-03-25,Subscription,4709965.64,GBP,CP038,Settled
TXN00000261,PAM0001,2024-03-10,Dividend,-144492.03,GBP,CP035,Pending
TXN00000262,PAM0001,2024-03-10,Management Fee,-459580.45,GBP,CP041,Settled
TXN00000263,PAM0001,2024-03-18,Subscription,1714181.71,GBP,CP008,Settled
TXN00000264,PAM0001,2024-03-28,Expense,-37521.07,GBP,CP028,Settled
TXN00000265,PAM0001,2024-04-05,Dividend,-331158.12,GBP,CP010,Settled
TXN00000266,PAM0001,2024-04-20,Subscription,461739.67,GBP,CP049,Settled
TXN00000267,PAM0001,2024-04-16,Performance Fee,-181810.83,GBP,CP046,Settled
TXN00000268,PAM0001,2024-04-19,Performance Fee,-152504.91,GBP,CP040,Settled
TXN00000269,PAM0001,2024-04-14,Redemption,-2803164.32,GBP,CP036,Settled
TXN00000270,PAM0001,2024-04-27,Redemption,-2724278.97,GBP,CP031,Settled
TXN00000271,PAM0001,2024-04-15,Subscription,2263030.22,GBP,CP026,Settled
TXN00000272,PAM0001,2024-04-24,Subscription,2146885.8,GBP,CP030,Settled
TXN00000273,PAM0001,2024-05-12,Subscription,1349819.73,GBP,CP017,Settled
TXN00000274,PAM0001,2024-05-21,Redemption,-748008.46,GBP,CP001,Settled
TXN00000275,PAM0001,2024-05-13,Dividend,-269080.03,GBP,CP010,Settled
TXN00000276,PAM0001,2024-05-22,Redemption,-908287.66,GBP,CP003,Settled
TXN00000277,PAM0001,2024-05-13,Dividend,-493474.77,GBP,CP021,Settled
TXN00000278,PAM0001,2024-06-27,Performance Fee,-99808.21,GBP,CP027,Settled
TXN00000279,PAM0001,2024-06-27,Performance Fee,-98209.33,GBP,CP006,Settled
TXN00000280,PAM0001,2024-06-03,Management Fee,-432056.42,GBP,CP018,Settled
TXN00000281,PAM0001,2024-06-05,Redemption,-968814.84,GBP,CP044,Settled
TXN00000282,PAM0001,2024-07-22,Subscription,2992915.99,GBP,CP029,Settled
TXN00000283,PAM0001,2024-07-12,Redemption,-1845314.64,GBP,CP049,Settled
TXN00000284,PAM0001,2024-07-29,Redemption,-2222579.82,GBP,CP028,Settled
TXN00000285,PAM0001,2024-07-12,Performance Fee,0.0,GBP,CP030,Settled
TXN00000286,PAM0001,2024-07-19,Subscription,1871371.25,GBP,CP040,Settled
TXN00000287,PAM0001,2024-07-30,Subscription,296718.42,GBP,CP044,Settled
TXN00000288,PAM0001,2024-07-05,Redemption,-1739396.5,GBP,CP039,Settled
TXN00000289,PAM0001,2024-07-14,Redemption,-1670906.73,GBP,CP049,Settled
TXN00000290,PAM0001,2024-08-29,Dividend,-394744.3,GBP,CP034,Settled
TXN00000291,PAM0001,2024-08-29,Dividend,-365986.6,GBP,CP020,Settled
TXN00000292,PAM0001,2024-08-16,Subscription,2762028.57,GBP,CP021,Settled
TXN00000293,PAM0001,2024-09-28,Subscription,340017.38,GBP,CP033,Settled
TXN00000294,PAM0001,2024-09-19,Management Fee,-454011.06,GBP,CP013,Settled
TXN00000295,PAM0001,2024-09-06,Subscription,612542.22,GBP,CP036,Settled
TXN00000296,PAM0001,2024-10-10,Redemption,-663551.23,GBP,CP030,Settled
TXN00000297,PAM0001,2024-10-26,Subscription,715862.12,GBP,CP023,Settled
TXN00000298,PAM0001,2024-10-21,Management Fee,-415560.1,GBP,CP003,Settled
TXN00000299,PAM0001,2024-10-06,Management Fee,-429822.36,GBP,CP047,Settled
TXN00000300,PAM0001,2024-10-17,Subscription,3320736.69,GBP,CP044,Settled
TXN00000301,PAM0001,2024-10-14,Redemption,-2565423.45,GBP,CP017,Settled
TXN00000302,PAM0001,2024-10-14,Management Fee,-460712.72,GBP,CP032,Pending
TXN00000303,PAM0001,2024-10-11,Expense,-5898.07,GBP,CP023,Settled
TXN00000304,PAM0001,2024-11-12,Redemption,-2293101.62,GBP,CP037,Settled
TXN00000305,PAM0001,2024-11-26,Subscription,3821956.44,GBP,CP006,Settled
TXN00000306,PAM0001,2024-11-04,Subscription,1109774.21,GBP,CP004,Settled
TXN00000307,PAM0001,2024-12-24,Management Fee,-404370.18,GBP,CP041,Settled
TXN00000308,PAM0001,2024-12-16,Subscription,1311639.48,GBP,CP030,Settled
TXN00000309,PAM0001,2024-12-16,Dividend,-398633.41,GBP,CP040,Settled
TXN00000310,PAM0001,2024-12-25,Management Fee,-455638.06,GBP,CP017,Settled
TXN00000311,PAM0002,2020-01-14,Subscription,4034242.24,USD,CP027,Settled
TXN00000312,PAM0002,2020-01-21,Redemption,-2383187.46,USD,CP013,Settled
TXN00000313,PAM0002,2020-01-19,Redemption,-919634.94,USD,CP039,Settled
TXN00000314,PAM0002,2020-02-22,Dividend,-471114.15,USD,CP030,Settled
TXN00000315,PAM0002,2020-02-14,Subscription,2618481.97,USD,CP020,Settled
TXN00000316,PAM0002,2020-02-07,Management Fee,-717345.06,USD,CP037,Settled
TXN00000317,PAM0002,2020-02-02,Redemption,-2659929.39,USD,CP033,Settled
TXN00000318,PAM0002,2020-03-16,Management Fee,-675057.82,USD,CP024,Settled
TXN00000319,PAM0002,2020-03-05,Redemption,-2677512.89,USD,CP009,Settled
TXN00000320,PAM0002,2020-03-27,Management Fee,-700325.48,USD,CP015,Settled
TXN00000321,PAM0002,2020-04-23,Redemption,-746042.11,USD,CP004,Settled
TXN00000322,PAM0002,2020-04-30,Subscription,1654698.33,USD,CP029,Settled
