trade_id,fund_id,trade_date,security,security_type,direction,quantity,price,notional,commission,status
TRD00000033,PAM0001,2023-11-27,OIL,Alternative,Sell,3059,279.9597,856396.79,801.18,Settled
TRD00000034,PAM0001,2023-10-25,BTC,Alternative,Buy,8667,475.7995,4123753.87,2096.0,Settled
TRD00000035,PAM0001,2023-11-29,GOOGL,Equity,Buy,6996,375.9182,2629923.67,668.51,Settled
TRD00000036,PAM0001,2022-05-27,OIL,Alternative,Buy,6789,276.9405,1880149.22,1110.25,Settled
TRD00000037,PAM0001,2024-08-31,GS,Equity,Sell,1202,35.5741,42760.03,25.41,Settled
TRD00000038,PAM0001,2023-01-22,US2Y,Fixed Income,Sell,4670,130.0802,607474.4,299.43,Settled
TRD00000039,PAM0001,2021-12-14,GOOGL,Equity,Sell,1092,326.7378,356797.63,114.28,Settled
TRD00000040,PAM0001,2023-02-14,US2Y,Fixed Income,Buy,404,102.3504,41349.56,18.08,Settled
TRD00000041,PAM0001,2022-06-15,IG_CORP,Fixed Income,Sell,6435,24.8789,160095.97,102.35,Settled
TRD00000042,PAM0001,2021-09-27,OIL,Alternative,Sell,2159,119.1341,257210.47,156.67,Settled
TRD00000043,PAM0001,2022-03-07,HY_CORP,Fixed Income,Sell,4051,355.75,1441143.22,1315.76,Settled
TRD00000044,PAM0001,2024-07-25,US2Y,Fixed Income,Buy,770,157.8209,121522.1,56.53,Settled
TRD00000045,PAM0001,2024-04-06,HY_CORP,Fixed Income,Sell,757,407.344,308359.38,45.9,Settled
TRD00000046,PAM0001,2023-07-17,US2Y,Fixed Income,Sell,7458,341.999,2550628.28,1934.81,Settled
TRD00000047,PAM0001,2024-12-21,US10Y,Fixed Income,Buy,4768,344.2823,1641538.02,1293.48,Settled
TRD00000048,PAM0001,2020-06-16,JPM,Equity,Sell,7728,170.635,1318667.18,283.51,Settled
TRD00000049,PAM0001,2022-01-08,AMZN,Equity,Sell,912,437.9727,399431.06,381.99,Settled
TRD00000050,PAM0001,2023-10-15,BRK.B,Equity,Sell,7684,408.2286,3136828.28,1131.99,Settled
TRD00000051,PAM0001,2024-08-02,MSFT,Equity,Sell,7410,365.4302,2707837.74,1764.63,Settled
TRD00000052,PAM0001,2020-11-13,US2Y,Fixed Income,Buy,8325,207.0952,1724067.16,635.36,Settled
TRD00000053,PAM0001,2020-12-09,TIPS,Fixed Income,Buy,2491,463.8451,1155438.13,770.51,Settled
TRD00000054,PAM0001,2024-09-10,AMZN,Equity,Buy,7856,336.3079,2642034.74,1472.06,Settled
TRD00000055,PAM0001,2020-05-12,GOOGL,Equity,Sell,1586,263.0221,417153.07,293.41,Settled
TRD00000056,PAM0001,2021-11-08,OIL,Alternative,Buy,2024,348.7786,705927.85,177.1,Settled
TRD00000057,PAM0001,2021-02-04,GOLD,Alternative,Sell,2277,144.9502,330051.67,281.88,Settled
TRD00000058,PAM0001,2023-01-22,JPM,Equity,Buy,9848,79.685,784737.77,219.68,Settled
TRD00000059,PAM0001,2024-04-14,AMZN,Equity,Buy,3406,417.9949,1423690.56,543.87,Settled
TRD00000060,PAM0001,2022-10-08,MSFT,Equity,Buy,5474,89.8452,491812.71,410.9,Settled
TRD00000061,PAM0001,2020-02-03,JPM,Equity,Buy,1189,443.3803,527179.12,526.64,Settled
TRD00000062,PAM0001,2021-01-22,GOOGL,Equity,Buy,3389,405.0501,1372714.75,436.95,Settled
TRD00000063,PAM0001,2022-03-14,BRK.B,Equity,Sell,4714,349.0384,1645367.03,527.28,Settled
TRD00000064,PAM0001,2023-05-07,META,Equity,Sell,2205,342.6784,755605.79,419.75,Settled
TRD00000065,PAM0001,2024-10-11,HY_CORP,Fixed Income,Sell,5682,118.9173,675687.91,76.77,Settled
TRD00000066,PAM0001,2020-06-17,BRK.B,Equity,Buy,1121,77.4633,86836.39,28.26,Settled
TRD00000067,PAM0001,2021-01-12,JPM,Equity,Buy,8322,392.0026,3262245.66,608.84,Settled
TRD00000068,PAM0001,2022-10-11,GOLD,Alternative,Sell,2966,476.8791,1414423.31,424.75,Settled
TRD00000069,PAM0001,2024-05-21,US10Y,Fixed Income,Buy,2776,375.676,1042876.5,214.52,Settled
TRD00000070,PAM0001,2020-05-17,US2Y,Fixed Income,Sell,3271,261.6256,855777.2,673.44,Settled
TRD00000071,PAM0001,2024-06-03,OIL,Alternative,Sell,6472,250.6307,1622081.99,1440.59,Settled
TRD00000072,PAM0001,2020-04-21,IG_CORP,Fixed Income,Buy,1039,381.6135,396496.48,367.73,Settled
TRD00000073,PAM0001,2023-04-28,AMZN,Equity,Buy,8610,366.2581,3153481.87,466.77,Settled
TRD00000074,PAM0001,2021-05-24,BRK.B,Equity,Buy,9096,425.3107,3868626.13,3632.03,Settled
TRD00000075,PAM0001,2024-10-13,US2Y,Fixed Income,Sell,3098,375.1982,1162363.89,724.56,Settled
TRD00000076,PAM0001,2023-09-25,AMZN,Equity,Buy,2524,139.6675,352520.67,165.29,Settled
TRD00000077,PAM0001,2021-08-24,BRK.B,Equity,Buy,2907,204.3158,593946.15,136.61,Settled
TRD00000078,PAM0001,2023-08-19,OIL,Alternative,Buy,8456,379.8588,3212086.21,2036.64,Settled
TRD00000079,PAM0001,2020-12-24,IG_CORP,Fixed Income,Sell,9292,306.0033,2843382.76,785.15,Settled
TRD00000080,PAM0001,2022-09-30,US2Y,Fixed Income,Buy,9099,175.4999,1596873.33,1078.71,Settled
TRD00000081,PAM0001,2024-05-09,AAPL,Equity,Sell,8717,222.8836,1942876.29,645.71,Failed
TRD00000082,PAM0001,2024-11-29,BTC,Alternative,Sell,5569,491.8088,2738883.05,1929.48,Settled
TRD00000083,PAM0001,2020-08-06,AMZN,Equity,Sell,2972,409.8365,1218034.17,601.93,Settled
TRD00000084,PAM0001,2020-10-22,MSFT,Equity,Buy,1645,418.2826,688074.94,442.84,Settled
TRD00000085,PAM0001,2022-07-30,AAPL,Equity,Buy,5642,164.2056,926447.71,621.16,Settled
TRD00000086,PAM0001,2022-08-24,AMZN,Equity,Buy,343,237.0569,81310.51,19.46,Settled
TRD00000087,PAM0001,2021-12-20,HY_CORP,Fixed Income,Sell,7761,274.8184,2132865.57,860.07,Settled
TRD00000088,PAM0001,2022-09-14,US2Y,Fixed Income,Sell,244,402.7044,98259.87,34.38,Settled
TRD00000089,PAM0001,2024-08-20,META,Equity,Buy,5726,387.3356,2217883.86,2156.19,Settled
TRD00000090,PAM0001,2024-04-26,META,Equity,Sell,857,359.5396,308125.44,235.66,Settled
TRD00000091,PAM0001,2023-10-30,META,Equity,Buy,6440,361.8837,2330531.19,546.31,Settled
TRD00000092,PAM0001,2023-07-22,GS,Equity,Buy,7147,219.428,1568251.78,978.03,Settled
TRD00000093,PAM0001,2021-05-04,AMZN,Equity,Sell,1928,285.4156,550281.28,332.55,Settled
TRD00000094,PAM0001,2024-09-08,HY_CORP,Fixed Income,Buy,5217,155.0168,808722.87,266.65,Settled
TRD00000095,PAM0001,2020-06-10,JPM,Equity,Buy,7398,449.8721,3328153.98,1755.19,Settled
TRD00000096,PAM0001,2023-09-14,META,Equity,Buy,8356,423.9591,3542601.94,1838.32,Settled
TRD00000097,PAM0001,2021-12-17,BRK.B,Equity,Sell,9922,239.0089,2371446.69,2176.37,Settled
TRD00000098,PAM0001,2024-01-23,TIPS,Fixed Income,Buy,4398,164.4942,723445.6,253.14,Settled
TRD00000099,PAM0001,2022-07-01,AMZN,Equity,Buy,7092,96.3568,683362.57,370.67,Settled
TRD00000100,PAM0001,2022-05-12,BTC,Alternative,Buy,8253,300.0918,2476657.97,2086.43,Pending
TRD00000101,PAM0001,2024-01-20,GS,Equity,Sell,2116,227.3792,481134.35,181.77,Failed
TRD00000102,PAM0001,2022-01-26,TIPS,Fixed Income,Sell,3280,398.784,1308011.56,449.87,Settled
TRD00000103,PAM0001,2023-01-17,META,Equity,Buy,9436,178.1827,1681331.92,961.3,Settled
TRD00000104,PAM0001,2023-10-28,AAPL,Equity,Buy,7701,13.5427,104292.1,30.45,Settled
TRD00000105,PAM0001,2023-01-08,HY_CORP,Fixed Income,Buy,7919,240.1853,1902027.18,1662.1,Settled
TRD00000106,PAM0001,2020-01-27,GOOGL,Equity,Sell,4844,435.8285,2111153.19,1636.85,Settled
TRD00000107,PAM0001,2021-05-15,OIL,Alternative,Sell,1916,167.38,320700.0,279.58,Settled
TRD00000108,PAM0001,2022-02-03,JPM,Equity,Sell,4192,17.2292,72224.98,18.16,Settled
TRD00000109,PAM0001,2020-10-15,GOOGL,Equity,Sell,5199,364.4778,1894920.23,297.3,Settled
TRD00000110,PAM0001,2022-02-09,GOOGL,Equity,Sell,2265,42.539,96350.75,80.54,Settled
TRD00000111,PAM0001,2021-04-24,GS,Equity,Buy,4210,251.3436,1058156.53,857.75,Settled
TRD00000112,PAM0001,2022-10-14,JPM,Equity,Sell,4721,89.6291,423138.98,281.09,Settled
TRD00000113,PAM0001,2021-05-10,IG_CORP,Fixed Income,Buy,9789,221.1672,2165005.56,2057.99,Settled
TRD00000114,PAM0001,2024-08-12,GS,Equity,Buy,4744,283.0905,1342981.25,536.04,Settled
TRD00000115,PAM0001,2024-02-02,GS,Equity,Buy,5131,160.4976,823513.39,235.75,Settled
TRD00000116,PAM0001,2022-07-15,JPM,Equity,Sell,3831,330.32,1265455.9,1106.96,Settled
TRD00000117,PAM0001,2020-01-01,US2Y,Fixed Income,Sell,1078,332.224,358137.43,75.63,Settled
TRD00000118,PAM0001,2024-10-04,OIL,Alternative,Sell,2972,498.1228,1480421.07,1461.73,Settled
TRD00000119,PAM0001,2023-03-04,BRK.B,Equity,Buy,9839,71.4612,703106.98,691.55,Settled
TRD00000120,PAM0001,2021-07-26,AMZN,Equity,Sell,6655,392.6644,2613181.87,2473.62,Settled
TRD00000121,PAM0001,2024-10-04,IG_CORP,Fixed Income,Buy,4833,472.4965,2283575.52,323.89,Settled
TRD00000122,PAM0001,2020-05-15,OIL,Alternative,Buy,3842,342.6796,1316574.98,1277.58,Settled
TRD00000123,PAM0001,2023-01-09,MSFT,Equity,Sell,9366,446.9539,4186170.57,940.75,Settled
TRD00000124,PAM0001,2024-09-27,US10Y,Fixed Income,Sell,5005,287.8582,1440730.35,1124.9,Settled
TRD00000125,PAM0001,2020-01-29,US10Y,Fixed Income,Sell,6684,65.2916,436408.88,130.16,Settled
TRD00000126,PAM0001,2020-07-25,BTC,Alternative,Sell,1877,403.0506,756526.05,716.49,Settled
TRD00000127,PAM0001,2024-06-27,IG_CORP,Fixed Income,Buy,3399,331.9146,1128177.58,1037.7,Settled
TRD00000128,PAM0001,2024-11-23,IG_CORP,Fixed Income,Buy,441,334.9713,147722.36,74.03,Settled
TRD00000129,PAM0001,2020-07-21,BTC,Alternative,Sell,4951,410.9559,2034642.88,1922.78,Settled
TRD00000130,PAM0001,2021-05-30,GOOGL,Equity,Buy,8801,337.1522,2967276.82,2006.37,Settled
TRD00000131,PAM0001,2020-03-01,IG_CORP,Fixed Income,Sell,407,163.4604,66528.37,54.05,Settled
TRD00000132,PAM0001,2022-08-30,GOOGL,Equity,Buy,2031,58.7088,119237.6,39.22,Settled
TRD00000133,PAM0001,2023-04-19,MSFT,Equity,Buy,9283,208.4349,1934900.73,853.52,Settled
TRD00000134,PAM0001,2023-10-07,BTC,Alternative,Buy,6330,275.6129,1744629.9,401.63,Settled
TRD00000135,PAM0001,2022-12-25,OIL,Alternative,Buy,4108,213.5116,877105.79,363.19,Settled
TRD00000136,PAM0001,2020-01-15,IG_CORP,Fixed Income,Sell,5440,62.7479,341348.57,96.22,Settled
TRD00000137,PAM0001,2022-11-26,US2Y,Fixed Income,Sell,6902,169.2327,1168043.88,409.03,Settled
TRD00000138,PAM0001,2023-06-21,IG_CORP,Fixed Income,Sell,6566,32.3779,212593.48,148.48,Settled
TRD00000139,PAM0001,2023-10-16,MSFT,Equity,Sell,6726,73.56,494764.69,227.12,Settled
TRD00000140,PAM0001,2024-09-05,OIL,Alternative,Buy,8559,330.2063,2826235.58,1076.63,Settled
TRD00000141,PAM0001,2023-11-29,OIL,Alternative,Buy,6754,200.0343,1351031.39,1039.84,Settled
TRD00000142,PAM0001,2024-05-15,AAPL,Equity,Buy,3197,456.6215,1459818.9,180.03,Settled
TRD00000143,PAM0001,2021-01-14,MSFT,Equity,Sell,1928,190.7675,367799.67,69.6,Settled
TRD00000144,PAM0001,2023-07-24,OIL,Alternative,Buy,3310,440.0012,1456404.12,396.11,Settled
TRD00000145,PAM0001,2023-08-11,GOLD,Alternative,Buy,2111,325.534,687202.27,432.22,Settled
TRD00000146,PAM0001,2020-12-21,BRK.B,Equity,Sell,2278,456.9958,1041036.45,308.42,Settled
TRD00000147,PAM0001,2022-01-05,TIPS,Fixed Income,Buy,7478,439.2304,3284564.79,2452.61,Settled
TRD00000148,PAM0001,2020-12-10,US2Y,Fixed Income,Buy,1753,163.1142,285939.11,45.59,Settled
TRD00000149,PAM0001,2021-07-09,IG_CORP,Fixed Income,Sell,8440,274.5182,2316933.51,593.95,Settled
TRD00000150,PAM0001,2020-02-06,BRK.B,Equity,Sell,557,485.7415,270558.01,132.18,Settled
TRD00000151,PAM0001,2022-08-25,AMZN,Equity,Sell,9461,212.3695,2009228.11,932.91,Settled
TRD00000152,PAM0001,2022-11-20,OIL,Alternative,Buy,222,372.884,82780.25,28.6,Settled
TRD00000153,PAM0001,2024-01-20,GOLD,Alternative,Sell,5121,166.4213,852243.5,261.27,Settled
TRD00000154,PAM0001,2024-06-14,GOOGL,Equity,Sell,7101,169.0883,1200695.67,220.15,Settled
TRD00000155,PAM0001,2024-09-21,US10Y,Fixed Income,Buy,1361,321.0773,436986.15,265.14,Settled
TRD00000156,PAM0001,2021-10-29,MSFT,Equity,Sell,665,408.4109,271593.26,106.98,Settled
TRD00000157,PAM0001,2024-08-12,IG_CORP,Fixed Income,Sell,1787,90.4799,161687.57,37.03,Settled
TRD00000158,PAM0001,2024-07-26,US10Y,Fixed Income,Sell,680,104.5908,71121.72,55.56,Settled
TRD00000159,PAM0001,2020-09-24,AMZN,Equity,Sell,5549,103.9768,576967.3,83.28,Settled
TRD00000160,PAM0001,2021-11-24,OIL,Alternative,Sell,7128,216.5719,1543724.64,696.51,Settled
TRD00000161,PAM0001,2024-12-30,US10Y,Fixed Income,Sell,2066,362.512,748949.83,354.58,Settled
TRD00000162,PAM0001,2022-09-24,HY_CORP,Fixed Income,Sell,3746,114.3554,428375.17,213.45,Settled
TRD00000163,PAM0001,2022-08-14,TIPS,Fixed Income,Buy,808,136.6525,110415.21,51.97,Settled
TRD00000164,PAM0001,2022-02-16,GS,Equity,Buy,7189,147.0594,1057210.32,513.81,Settled
TRD00000165,PAM0001,2023-09-03,GOOGL,Equity,Sell,3323,428.7719,1424809.11,1140.87,Settled
TRD00000166,PAM0001,2021-01-20,US10Y,Fixed Income,Buy,9413,413.5182,3892446.8,517.57,Settled
TRD00000167,PAM0001,2024-03-18,JPM,Equity,Sell,3065,37.9191,116221.98,95.9,Settled
TRD00000168,PAM0001,2021-02-02,BTC,Alternative,Buy,7388,125.8506,929784.09,536.9,Pending
TRD00000169,PAM0001,2022-06-26,IG_CORP,Fixed Income,Buy,2038,132.9611,270974.63,89.07,Settled
TRD00000170,PAM0001,2023-11-03,GOLD,Alternative,Sell,6948,435.7191,3027375.98,1748.29,Settled
TRD00000171,PAM0001,2022-11-25,HY_CORP,Fixed Income,Buy,137,195.1862,26740.51,5.37,Settled
TRD00000172,PAM0001,2020-12-27,AMZN,Equity,Sell,6098,72.2027,440292.23,376.06,Settled
TRD00000173,PAM0001,2022-07-23,HY_CORP,Fixed Income,Sell,5726,160.8555,921058.85,733.14,Settled
TRD00000174,PAM0001,2023-04-15,OIL,Alternative,Buy,7943,71.9294,571335.57,175.51,Settled
TRD00000175,PAM0001,2020-07-25,AAPL,Equity,Buy,856,51.5297,44109.42,41.32,Settled
TRD00000176,PAM0001,2022-03-28,IG_CORP,Fixed Income,Buy,9638,114.8287,1106719.13,665.44,Settled
TRD00000177,PAM0001,2024-11-09,JPM,Equity,Sell,5993,325.3868,1950043.21,1647.76,Settled
TRD00000178,PAM0001,2020-11-01,US2Y,Fixed Income,Buy,3685,89.6234,330262.27,239.15,Settled
TRD00000179,PAM0001,2021-10-19,US10Y,Fixed Income,Sell,3980,249.9679,994872.07,137.55,Settled
TRD00000180,PAM0001,2023-06-26,OIL,Alternative,Buy,9323,276.1873,2574894.16,1787.66,Settled
TRD00000181,PAM0001,2020-04-05,BRK.B,Equity,Sell,7553,368.9106,2786381.47,962.63,Settled
TRD00000182,PAM0001,2023-09-17,OIL,Alternative,Buy,5148,44.3776,228455.88,82.76,Settled
TRD00000183,PAM0001,2023-03-03,MSFT,Equity,Buy,3080,477.1636,1469663.82,227.52,Settled
TRD00000184,PAM0001,2023-12-04,MSFT,Equity,Sell,9451,90.8694,858806.94,760.86,Settled
TRD00000185,PAM0001,2024-06-27,IG_CORP,Fixed Income,Buy,2247,277.1963,622860.15,561.31,Failed
TRD00000186,PAM0001,2021-06-02,US2Y,Fixed Income,Sell,5000,217.5258,1087628.98,587.85,Settled
TRD00000187,PAM0001,2021-11-02,AAPL,Equity,Buy,6480,341.3938,2212232.05,944.07,Settled
TRD00000188,PAM0001,2024-03-01,META,Equity,Sell,3135,57.8575,181383.37,97.94,Settled
TRD00000189,PAM0001,2022-06-04,BTC,Alternative,Sell,6687,257.2953,1720533.97,314.03,Settled
TRD00000190,PAM0001,2020-06-29,MSFT,Equity,Sell,8555,462.9944,3960917.42,2280.66,Settled
TRD00000191,PAM0001,2022-11-18,IG_CORP,Fixed Income,Sell,7088,170.3065,1207132.25,329.95,Settled
TRD00000192,PAM0001,2021-05-15,AAPL,Equity,Sell,5433,306.7979,1666832.97,1640.51,Settled
TRD00000193,PAM0001,2021-06-27,MSFT,Equity,Buy,1376,127.2903,175151.48,124.42,Settled
TRD00000194,PAM0001,2022-07-01,HY_CORP,Fixed Income,Buy,1623,433.0339,702813.97,142.56,Settled
TRD00000195,PAM0001,2023-02-14,AMZN,Equity,Sell,3299,282.4202,931704.38,767.52,Settled
TRD00000196,PAM0001,2023-03-08,GOOGL,Equity,Sell,6739,256.2427,1726819.66,1238.89,Settled
TRD00000197,PAM0001,2021-04-27,OIL,Alternative,Buy,1715,486.9376,835098.01,621.0,Settled
TRD00000198,PAM0001,2023-11-09,MSFT,Equity,Buy,455,54.56,24824.82,22.88,Settled
TRD00000199,PAM0001,2020-04-20,TIPS,Fixed Income,Buy,2823,420.6378,1187460.43,294.34,Settled
TRD00000200,PAM0001,2022-06-16,AMZN,Equity,Sell,5446,29.6846,161662.56,42.92,Settled
TRD00000201,PAM0001,2023-06-28,IG_CORP,Fixed Income,Sell,868,178.7003,155111.82,130.85,Settled
TRD00000202,PAM0001,2024-06-08,US2Y,Fixed Income,Sell,3665,354.2605,1298364.64,454.06,Settled
TRD00000203,PAM0001,2024-01-25,OIL,Alternative,Sell,7764,124.8371,969235.22,277.93,Settled
TRD00000204,PAM0001,2022-03-14,IG_CORP,Fixed Income,Sell,4799,94.4912,453463.33,277.77,Settled
TRD00000205,PAM0001,2022-11-20,HY_CORP,Fixed Income,Sell,5186,428.1295,2220279.47,663.58,Settled
TRD00000206,PAM0001,2022-12-30,JPM,Equity,Sell,1541,270.3385,416591.65,87.39,Settled
TRD00000207,PAM0001,2022-06-15,US2Y,Fixed Income,Buy,1813,279.0556,505927.79,337.64,Settled
TRD00000208,PAM0001,2020-09-18,HY_CORP,Fixed Income,Sell,8944,465.5881,4164219.92,1730.46,Settled
TRD00000209,PAM0001,2023-11-17,BTC,Alternative,Sell,2605,264.4462,688882.24,343.96,Settled
TRD00000210,PAM0001,2022-05-29,AAPL,Equity,Buy,8427,122.8425,1035193.43,887.07,Settled
TRD00000211,PAM0001,2022-11-05,BTC,Alternative,Sell,436,229.3647,100003.03,28.33,Settled
TRD00000212,PAM0001,2024-02-11,IG_CORP,Fixed Income,Sell,8245,54.4607,449028.3,387.0,Settled
TRD00000213,PAM0001,2022-06-12,GOLD,Alternative,Sell,2490,371.7603,925683.1,731.4,Settled
TRD00000214,PAM0001,2024-07-11,IG_CORP,Fixed Income,Buy,7063,479.4152,3386109.7,3010.73,Settled
TRD00000215,PAM0001,2023-06-30,OIL,Alternative,Sell,4508,290.2445,1308422.2,293.23,Settled
TRD00000216,PAM0001,2023-09-16,IG_CORP,Fixed Income,Buy,9858,118.8276,1171402.28,385.89,Settled
TRD00000217,PAM0001,2020-04-10,BRK.B,Equity,Buy,2906,356.8079,1036883.82,957.83,Settled
TRD00000218,PAM0001,2020-08-20,MSFT,Equity,Buy,2570,217.8561,559890.26,178.98,Settled
TRD00000219,PAM0001,2023-11-25,TIPS,Fixed Income,Buy,9073,64.8371,588267.03,464.8,Settled
TRD00000220,PAM0001,2022-11-03,OIL,Alternative,Sell,6676,484.8188,3236650.0,2550.51,Settled
TRD00000221,PAM0001,2021-07-07,IG_CORP,Fixed Income,Sell,3952,294.4374,1163616.6,1119.28,Settled
TRD00000222,PAM0001,2023-12-21,BTC,Alternative,Sell,6690,309.8028,2072581.04,883.36,Settled
TRD00000223,PAM0001,2020-08-23,BTC,Alternative,Buy,7604,265.8238,2021324.34,1598.63,Settled
TRD00000224,PAM0001,2024-04-22,IG_CORP,Fixed Income,Buy,2691,38.1938,102779.49,86.81,Settled
TRD00000225,PAM0001,2020-05-04,US2Y,Fixed Income,Sell,4263,281.8441,1201501.48,372.93,Settled
TRD00000226,PAM0001,2023-12-25,BTC,Alternative,Buy,1100,101.3836,111521.93,33.9,Settled
TRD00000227,PAM0001,2020-07-30,BTC,Alternative,Buy,7988,426.4941,3406834.63,1615.78,Settled
TRD00000228,PAM0001,2024-09-10,BTC,Alternative,Buy,4740,477.7943,2264745.06,1508.94,Settled
TRD00000229,PAM0001,2023-12-15,AAPL,Equity,Buy,6564,195.9764,1286388.87,712.3,Settled
TRD00000230,PAM0001,2024-05-29,AAPL,Equity,Sell,4408,401.4422,1769557.41,516.12,Settled
TRD00000231,PAM0001,2022-11-13,GOLD,Alternative,Sell,4129,49.7468,205404.47,80.48,Settled
TRD00000232,PAM0001,2024-08-06,OIL,Alternative,Sell,7282,220.903,1608615.4,1289.2,Settled
TRD00000233,PAM0001,2023-07-06,META,Equity,Buy,5353,463.403,2480596.1,1716.9,Settled
TRD00000234,PAM0001,2024-08-20,US2Y,Fixed Income,Sell,6544,13.0164,85179.02,51.03,Settled
TRD00000235,PAM0001,2021-04-11,US2Y,Fixed Income,Sell,3154,334.8563,1056136.79,285.34,Settled
TRD00000236,PAM0001,2021-04-13,META,Equity,Sell,5341,192.8503,1030013.26,704.09,Settled
TRD00000237,PAM0001,2021-03-18,HY_CORP,Fixed Income,Buy,8436,106.7426,900480.7,548.73,Settled
TRD00000238,PAM0001,2021-05-31,GOOGL,Equity,Sell,2269,234.9179,533028.67,291.3,Settled
TRD00000239,PAM0001,2021-03-25,US2Y,Fixed Income,Buy,989,179.4857,177511.36,73.34,Settled
TRD00000240,PAM0001,2022-12-07,US2Y,Fixed Income,Sell,1517,63.3749,96139.66,34.09,Settled
TRD00000241,PAM0001,2022-01-21,OIL,Alternative,Buy,7106,329.3641,2340461.16,1894.87,Settled
TRD00000242,PAM0001,2023-01-09,BRK.B,Equity,Sell,9834,107.6356,1058488.07,306.0,Settled
TRD00000243,PAM0001,2022-02-27,GOOGL,Equity,Sell,6493,63.6377,413199.46,288.35,Settled
TRD00000244,PAM0001,2020-12-28,AAPL,Equity,Sell,5001,389.6718,1948748.73,1214.09,Settled
TRD00000245,PAM0001,2022-11-12,IG_CORP,Fixed Income,Buy,669,442.2097,295838.27,238.64,Settled
TRD00000246,PAM0001,2021-04-27,US10Y,Fixed Income,Buy,1658,426.6057,707312.29,302.84,Settled
TRD00000247,PAM0001,2021-03-06,HY_CORP,Fixed Income,Buy,5004,35.8286,179286.3,140.98,Settled
TRD00000248,PAM0001,2022-12-25,HY_CORP,Fixed Income,Buy,7073,437.7885,3096477.89,2073.95,Settled
TRD00000249,PAM0001,2021-08-16,AAPL,Equity,Buy,2051,144.0899,295528.35,83.09,Settled
